Record,อุณหภูมิ (°C),ความชื้น (%),ความเข้มแสง (Lux),ปริมาณ CO2 (ppm),การเปิด-ปิดน้ำ
1,21,41,920,691,ปิด
2,31,55,994,1474,ปิด
3,33,71,548,1413,ปิด
4,37,86,550,640,ปิด
5,32,39,524,936,เปิด
6,24,54,316,1380,ปิด
7,23,41,496,483,เปิด
8,39,58,141,478,เปิด
9,20,44,355,850,เปิด
10,35,75,922,514,เปิด
11,40,51,647,1411,เปิด
12,28,40,854,602,เปิด
13,40,89,378,665,ปิด
14,40,76,746,1312,ปิด
15,37,46,930,1172,เปิด
16,28,61,596,1212,ปิด
17,38,39,645,1073,เปิด
18,36,71,489,464,เปิด
19,34,80,545,609,ปิด
20,31,66,313,405,ปิด
21,32,59,814,852,เปิด
22,34,44,160,933,เปิด
23,36,38,611,1269,เปิด
24,26,73,839,1475,ปิด
25,22,42,501,689,เปิด
26,37,39,920,499,เปิด
27,34,83,240,1453,ปิด
28,38,80,647,1045,ปิด
29,32,67,359,1343,ปิด
30,21,84,260,539,ปิด
31,20,79,175,627,ปิด
32,23,53,877,773,เปิด
33,38,72,105,1342,ปิด
34,29,71,477,375,ปิด
35,32,53,689,1473,ปิด
36,32,82,371,1329,ปิด
37,20,68,605,682,เปิด
38,24,56,783,781,เปิด
39,32,55,413,494,ปิด
40,24,82,436,750,ปิด
41,25,86,917,1356,ปิด
42,30,44,524,906,เปิด
43,24,41,789,1095,เปิด
44,31,66,768,385,ปิด
45,28,84,124,553,ปิด
46,26,46,599,956,เปิด
47,23,44,690,1245,เปิด
48,34,57,634,802,เปิด
49,36,53,418,691,เปิด
50,21,63,952,679,เปิด
51,34,66,367,1386,ปิด
52,27,63,317,573,ปิด
53,37,70,543,554,ปิด
54,23,75,477,961,ปิด
55,34,84,134,1091,ปิด
56,21,51,211,1337,ปิด
57,29,76,926,1051,ปิด
58,39,41,921,770,เปิด
59,32,51,113,366,ปิด
60,39,51,759,1274,เปิด
61,28,39,303,578,เปิด
62,28,40,626,1190,เปิด
63,22,79,883,722,ปิด
64,31,40,848,390,เปิด
65,39,56,108,520,เปิด
66,26,57,835,1439,ปิด
67,32,42,356,519,เปิด
68,31,69,362,535,เปิด
69,40,49,411,1201,เปิด
70,20,52,215,1340,ปิด
71,33,68,399,844,ปิด
72,32,89,816,668,ปิด
73,30,86,917,1243,ปิด
74,20,64,534,1464,ปิด
75,35,37,406,1067,เปิด
76,22,50,862,1389,ปิด
77,33,57,311,489,เปิด
78,20,72,284,1479,ปิด
79,29,35,299,1175,ปิด
80,27,35,198,769,เปิด
81,30,44,341,650,เปิด
82,31,59,684,602,ปิด
83,28,74,618,850,ปิด
84,39,72,706,1037,เปิด
85,36,46,336,470,เปิด
86,39,74,553,906,ปิด
87,26,68,403,455,ปิด
88,30,88,670,991,ปิด
89,20,60,301,1152,ปิด
90,36,62,300,1191,ปิด
91,32,79,451,845,ปิด
92,21,88,193,1125,ปิด
93,34,43,478,569,เปิด
94,24,68,261,1212,เปิด
95,32,64,914,1424,ปิด
96,29,69,424,929,ปิด
97,39,69,834,832,เปิด
98,37,72,466,1347,เปิด
99,21,47,766,936,เปิด
100,36,75,521,918,ปิด
