timestamp,trial_id,class_label,class_name,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,event
0.0,1,0,Left_Hand,2.48357,5.58766,-0.70521,2.45877,-3.90941,6.3714,-4.39985,-0.50863,-0.5359,-0.8852,0.31531,1.41344,-11.19829,0.739,2.79366,0.05901,0
0.004,1,0,Left_Hand,-0.69132,1.47997,-0.30362,3.41436,1.20729,3.25271,3.45304,8.39698,-1.48561,0.1311,8.72915,-2.48707,8.94892,-4.9948,4.68759,2.39053,0
0.008,1,0,Left_Hand,3.23844,1.92244,1.10202,4.53669,0.01057,4.40252,2.26995,0.07551,9.59819,-4.93696,3.53075,3.16491,-8.13373,1.11801,-0.62133,7.90876,0
0.012,1,0,Left_Hand,7.61515,-6.02905,1.98961,1.0848,7.14934,-6.41587,8.22441,0.34105,0.32087,-9.70898,-1.03383,-0.4771,5.60743,-8.67203,-2.02036,5.44678,0
0.016,1,0,Left_Hand,-1.17077,2.00729,12.55006,5.25437,5.04873,-12.71979,13.10594,3.17352,-2.65481,0.51939,-6.60488,0.1334,0.71852,0.58231,-0.33244,5.13832,0
0.02,1,0,Left_Hand,-1.17068,3.15838,0.13375,-1.23697,6.10985,2.29941,8.83746,5.52306,8.15807,-5.31421,-2.25519,7.98605,-0.40301,5.56671,-4.83135,-6.22174,0
0.024,1,0,Left_Hand,7.89606,4.88001,4.31365,8.71072,1.53311,1.27237,-3.45957,-0.4029,-10.82629,8.33268,3.54154,4.03781,2.45064,-4.98867,3.98965,6.1867,0
0.028,1,0,Left_Hand,3.83717,-2.74692,3.82511,-3.52811,-1.34839,3.80191,6.50837,3.45517,9.90383,1.07475,11.14291,-2.24392,4.20771,-1.24315,-10.04459,-1.702,0
0.032,1,0,Left_Hand,-2.34737,5.18451,-3.63015,1.71261,-2.11263,5.11163,7.3894,2.37979,3.65176,4.85994,3.44152,-6.22629,1.83823,3.38948,5.54705,5.93909,0
0.036,1,0,Left_Hand,2.7128,4.80827,-5.53967,5.87831,3.11954,6.31347,1.13733,7.61418,0.7404,-7.59237,0.39091,-0.87194,8.16613,-8.98271,5.27499,-0.37681,0
0.04,1,0,Left_Hand,-2.31709,-2.17331,9.0967,-0.82103,-2.79132,-0.90589,0.78527,-0.38705,1.65809,-2.66388,3.84275,0.97561,13.15514,-1.26744,-3.25186,3.5647,0
0.044,1,0,Left_Hand,-2.32865,4.26276,-2.57709,-2.35955,-3.93811,3.83328,-2.53945,-8.28108,5.3507,0.74358,-2.38444,2.34534,1.24791,-3.53579,5.38872,3.34295,0
0.048,1,0,Left_Hand,1.20981,-4.14605,1.31512,-0.31211,-2.1603,-2.05262,5.40721,0.01358,-1.36461,2.31282,2.83758,-2.12635,-1.43518,-11.58725,4.64876,0.8356,0
0.052,1,0,Left_Hand,-9.5664,-7.25256,-0.49504,-4.08924,-13.70024,-7.40279,6.34782,7.7724,-3.23691,6.39199,-0.43318,1.98937,8.55606,3.7845,9.21972,2.3712,0
0.056,1,0,Left_Hand,-8.62459,-2.33946,-8.16511,5.70061,-4.83233,-3.90961,0.25113,6.92619,8.475,-2.55106,-5.83896,-2.05801,-7.01004,-0.13054,3.68128,-4.74914,0
0.06,1,0,Left_Hand,-2.81144,1.07396,-2.17577,-0.68702,-0.45607,-3.1118,2.41421,-3.21278,3.73086,0.28875,4.59324,1.53305,-1.16641,-1.87618,8.56265,-6.52469,0
0.064,1,0,Left_Hand,-5.06416,-2.30479,0.13629,-0.52003,-2.93106,2.96617,-0.80743,-1.22065,-7.45475,-7.84219,7.23883,-2.01592,-0.34995,-10.19138,-3.27282,-4.55303,0
0.068,1,0,Left_Hand,1.57124,-7.78013,-8.82849,0.82718,3.74722,-4.67232,-2.60406,2.66824,-2.52142,3.07958,-3.74246,-0.80915,-7.17441,3.99205,1.93564,-0.64299,0
0.072,1,0,Left_Hand,-4.54012,2.19632,4.85159,3.52333,-2.88802,-4.45443,-4.74467,-1.9927,3.36546,-5.13465,-1.32099,1.76298,4.83663,6.75998,-3.78343,-9.51938,0
0.076,1,0,Left_Hand,-7.06152,-0.71404,1.29839,0.42094,4.14499,1.65884,-2.38692,3.69878,-0.0769,-3.47736,9.62927,1.65988,2.8579,1.30995,4.90538,7.69831,0
0.08,1,0,Left_Hand,7.32824,-5.36017,0.58291,5.29862,-6.62214,4.76083,1.75672,4.89155,2.6281,7.37961,4.90687,4.50185,-7.3754,5.71344,-6.7886,0.01711,0
0.084,1,0,Left_Hand,-1.12888,-0.98642,2.62782,-2.27499,7.02424,-7.68523,-3.75908,-1.80771,-6.00062,1.0419,5.90734,5.33784,-3.4361,-5.93157,-4.04216,-3.6321,0
0.088,1,0,Left_Hand,0.33764,-3.29188,-1.21861,1.51166,-2.02075,2.81548,0.99172,-2.80623,9.47763,-3.96216,-0.08121,1.34006,9.41834,-3.23201,0.79551,-7.244,0
0.092,1,0,Left_Hand,-7.12374,0.08015,-5.78947,3.64531,1.37598,5.32123,-3.68062,1.23537,-5.37451,-4.78189,-0.59887,0.91536,2.08181,3.94225,7.03219,-7.16789,0
0.096,1,0,Left_Hand,-2.72191,-1.10341,0.24782,-10.05137,-3.67497,0.91321,2.42196,-5.39095,8.14,3.09817,1.41666,0.19381,4.40303,8.32109,0.43442,5.92549,0
0.1,1,0,Left_Hand,0.55461,2.30558,5.23226,-0.03955,-6.5817,0.86515,2.77737,1.65764,12.06145,-6.43821,-0.6714,2.64271,2.95808,1.23531,4.99687,-8.02398,0
0.104,1,0,Left_Hand,-5.75497,-1.17655,-3.08564,7.20213,2.56142,-0.30638,3.66435,3.16807,3.94218,4.13837,-3.26214,-3.80566,-4.77837,8.01062,0.37188,-1.51678,0
0.108,1,0,Left_Hand,1.87849,-10.1526,9.25427,6.69333,-2.43494,4.47876,-3.33965,0.84318,5.06606,-5.11098,-5.83093,9.68497,8.02159,-4.78437,-0.65366,-1.23417,0
0.112,1,0,Left_Hand,-3.00319,-4.27463,-8.82405,-2.69462,-7.2174,-6.27499,16.24472,-1.09076,-3.88843,-4.0716,4.42468,-3.70757,-0.65072,-0.24818,2.78281,-0.59767,0
0.116,1,0,Left_Hand,-1.45847,-4.41847,2.244,3.38837,3.96872,4.55995,-1.94317,4.79605,-1.15506,-4.34832,-3.05774,-3.2236,-3.99677,-8.4405,3.45097,6.04216,0
0.12,1,0,Left_Hand,-3.00853,0.97011,5.6216,-1.03923,6.28458,5.85653,9.39691,-3.15588,-1.45665,0.80051,0.8197,-0.28584,-0.79938,-1.93052,4.08107,-0.97099,0
0.124,1,0,Left_Hand,9.26139,0.0406,11.40636,-4.63419,0.13244,-2.55777,12.83741,-0.74078,-4.8705,-7.36257,-3.71953,-3.14695,11.17529,-2.73813,-2.03371,-2.8972,0
0.128,1,0,Left_Hand,-0.06749,5.06562,4.89602,-1.32346,0.47807,5.73726,3.49104,-2.7308,5.03016,6.83948,-8.29986,-1.41276,6.99362,8.59772,-3.30293,-0.43469,0
0.132,1,0,Left_Hand,-5.28855,-0.60797,-6.93004,-2.47304,6.56108,1.37094,10.86252,3.19531,3.64395,1.3002,7.16766,1.95167,-1.96267,-4.838,2.25226,-8.75389,0
0.136,1,0,Left_Hand,4.11272,-5.21007,3.29245,8.93648,-4.98491,11.48314,2.01003,4.5618,4.63853,4.96052,-0.36028,0.75833,-3.76809,-2.64512,-5.94675,5.50125,0
0.14,1,0,Left_Hand,-6.10422,0.85383,-11.1948,-7.92443,0.87308,5.94852,4.75097,7.31321,0.92813,-5.89686,-6.55881,-2.99846,6.33369,-2.37812,-5.33533,-11.17403,0
0.144,1,0,Left_Hand,1.04432,3.11028,8.19967,5.92287,7.54024,-0.53732,-4.10849,4.80168,-3.42007,0.02119,-4.68383,2.22826,-7.84792,3.19768,-7.2177,3.89568,0
0.148,1,0,Left_Hand,-9.79835,-1.37215,7.09265,-5.55652,-5.40151,-2.16136,-5.33335,0.02626,2.64376,-4.42077,2.89626,0.79633,-1.1981,-2.04478,-0.45959,6.1283,0
0.152,1,0,Left_Hand,-6.64093,3.82864,-5.55972,0.77996,5.42303,1.86818,-2.39259,11.66866,4.11842,0.66745,-2.93754,-3.69976,0.08093,1.60589,-6.59697,1.00387,0
0.156,1,0,Left_Hand,0.98431,-1.92216,-1.43325,9.68739,4.52124,4.08757,0.40366,-2.42132,-3.30341,1.58632,4.38925,-11.43969,9.48038,-8.45614,-4.518,-0.45109,0
0.16,1,0,Left_Hand,3.69233,-0.06377,-2.8973,-6.76347,-1.23472,-7.42173,-12.17739,5.34465,2.21488,-3.51838,8.37369,2.83789,2.7435,-2.09864,1.4271,-3.16714,0
0.164,1,0,Left_Hand,0.85684,0.12019,-8.70993,1.55393,0.07082,-0.93411,5.38499,-5.41131,-2.51577,-0.30344,-4.51785,0.75918,4.44233,-0.42357,6.06517,-0.3486,0
0.168,1,0,Left_Hand,-0.57824,-4.24579,-0.54329,-6.72348,-8.03752,4.46485,-5.91187,-0.54023,7.03106,5.25436,0.10532,-11.98443,3.72232,-2.27797,-3.88552,11.86705,0
0.172,1,0,Left_Hand,-1.50552,-2.35681,-2.45775,1.03486,-11.26782,0.16157,2.20363,6.01844,-5.34882,-4.12239,-1.23935,3.48661,-1.37525,7.58683,-1.60449,-4.44011,0
0.176,1,0,Left_Hand,-7.39261,0.71006,11.59593,-2.52941,-4.03196,-6.74744,-8.18122,1.68424,0.65239,-2.40471,6.18021,-1.51192,-0.98269,3.16579,3.22337,5.75734,0
0.18,1,0,Left_Hand,-3.59922,1.66414,3.4411,-5.4735,6.71991,-3.08968,2.6836,-0.45481,-5.19214,2.31257,-4.35781,-11.84692,-5.14969,0.63671,-8.40181,-6.54299,0
0.184,1,0,Left_Hand,-2.30319,8.02248,5.09948,-4.79115,-1.53037,-9.97459,1.0116,-11.657,-4.5378,6.19292,3.19966,-1.52267,8.96107,-2.19017,4.25007,-5.59398,0
0.188,1,0,Left_Hand,5.28561,-3.26138,-4.67173,-5.99523,-2.71677,0.41387,-3.8344,-0.42165,-3.20418,4.99244,0.03389,-6.84048,-6.13285,1.64736,-5.51377,0.75115,0
0.192,1,0,Left_Hand,1.71809,4.34579,-9.05867,3.18861,3.20423,-0.18729,3.55657,4.34014,-4.47763,-1.80484,-3.28497,-0.62296,-2.28612,-0.02082,-2.40542,-4.02902,0
0.196,1,0,Left_Hand,-8.8152,2.83687,-1.17403,-6.3875,-5.35939,2.94792,6.15963,2.09305,2.12961,-5.41331,-3.60224,-9.67018,-2.2769,1.67458,0.39482,3.71836,0
0.2,1,0,Left_Hand,1.62042,4.11474,3.17371,5.07754,-0.2395,-6.16326,-0.43081,11.25635,4.99074,-1.96763,-4.08512,5.16983,5.7265,0.88791,-4.44253,2.2958,0
0.204,1,0,Left_Hand,-1.92541,-3.18286,4.30678,6.77889,1.20552,5.03168,-1.62779,-8.21988,-5.8908,7.03837,-1.7265,2.51267,3.1649,3.63936,-1.4178,3.53393,0
0.208,1,0,Left_Hand,-3.38461,-1.80811,6.85372,6.27717,-1.58681,7.74958,4.29278,-1.22301,-1.12512,0.98326,3.76816,15.1352,-3.14805,-9.81514,-5.82373,5.90782,0
0.212,1,0,Left_Hand,3.05838,-2.92721,4.86785,-7.19751,-8.86021,10.94399,3.73294,-2.82223,7.98498,5.36276,4.32137,-4.34644,4.88768,-3.08281,-0.66277,-6.56291,0
0.216,1,0,Left_Hand,5.155,-1.22443,-1.37373,5.04869,-0.1573,3.48141,-11.00184,2.0078,5.00663,0.43812,-3.48739,-4.79845,2.71176,-2.39701,4.51784,-3.98638,0
0.22,1,0,Left_Hand,4.6564,2.70996,2.19637,5.51732,-3.75608,2.17038,2.82481,2.53623,-2.48473,0.47538,4.11877,9.55915,1.2891,-5.3502,0.52575,-1.48796,0
0.224,1,0,Left_Hand,-4.19609,0.28128,2.87256,-12.3194,-8.11469,3.45066,7.66918,-4.50169,-1.78424,2.42251,6.86538,0.81238,1.79604,-3.45408,-1.9737,-1.58677,0
0.228,1,0,Left_Hand,-1.54606,4.34924,0.90803,10.84856,-3.74742,-0.04813,8.60716,2.29735,-0.66459,1.80664,-3.32954,-3.25528,8.20026,4.71821,-6.60866,-5.89029,0
0.232,1,0,Left_Hand,1.65632,-3.9021,10.42169,-2.15681,1.41202,11.85421,-6.93888,12.85013,-2.07334,-3.6542,-0.52615,5.25736,-0.96999,-3.78715,-0.46234,1.54986,0
0.236,1,0,Left_Hand,4.87773,-9.77194,15.60302,2.04919,3.66745,-5.76201,1.69373,3.55524,1.45349,9.77732,1.55159,6.15158,1.83442,-3.24632,-2.03093,0.90374,0
0.24,1,0,Left_Hand,-2.39587,-0.29899,3.52874,2.12226,-3.50285,-9.31392,-4.68466,-2.11911,-0.20133,1.31789,7.82899,-3.69869,-8.20445,-1.61784,-3.73792,-1.32658,0
0.244,1,0,Left_Hand,-0.92829,-0.81887,2.51764,6.63908,0.05116,-1.54684,-1.93039,2.64593,-3.83807,-0.19148,-8.11221,-3.33004,-0.5823,1.51571,-0.95985,-1.84128,0
0.248,1,0,Left_Hand,-5.53167,1.26341,2.75214,-4.06376,0.57783,4.8365,-9.13204,-3.59571,2.21758,4.60604,-1.45133,8.81571,7.65243,2.7133,-5.44241,1.46157,0
0.252,1,0,Left_Hand,-5.98103,1.59694,3.33261,-8.88576,9.73682,-1.39265,2.08108,0.50474,-0.63916,5.51587,6.64581,-3.61349,-2.61279,-6.62194,-0.68961,6.30206,0
0.256,1,0,Left_Hand,4.06263,-7.23882,-7.60029,-1.88726,-0.2939,-5.58797,-0.72569,0.19832,0.96453,-2.87056,8.16984,2.46483,-10.1075,-9.85396,-0.55988,0.49636,0
0.26,1,0,Left_Hand,6.7812,-9.68568,-1.21461,-0.01251,-8.90582,13.1829,-0.58914,-8.68295,12.49685,5.46784,3.66206,-6.76998,-8.35627,7.52892,0.77303,-2.84775,0
0.264,1,0,Left_Hand,-0.36005,11.7821,-7.2046,-1.57943,3.42202,11.3495,3.7104,-5.29926,-5.05357,5.80717,-0.01643,-2.06303,-3.92164,-2.40135,-0.41184,0.51843,0
0.268,1,0,Left_Hand,5.01766,7.04564,7.94985,-4.45213,-7.15797,0.54479,-1.92868,-1.04457,2.50732,0.12809,-2.5671,6.51211,11.40491,6.12684,7.78396,-0.70788,0
0.272,1,0,Left_Hand,1.80818,5.57838,-0.92016,12.18345,-9.30456,-8.28626,2.78118,0.35096,-2.16372,1.47531,-0.51368,-1.27906,-2.75651,1.17557,5.36921,-5.95041,0
