timestamp,trial_id,class_label,class_name,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,event
0.0,1,0,Left_Hand,2.483571,5.587663,-0.705212,-1.071047,-3.60969,-4.854254,0.652145,-3.966125,0
0.004,1,0,Left_Hand,-0.691322,1.479966,-0.676654,2.99376,5.622866,7.569154,-6.051701,5.9675,0
0.008,1,0,Left_Hand,3.238443,1.922437,0.37939,1.01771,-4.738928,-5.460396,-3.316461,-2.14189,0
0.012,1,0,Left_Hand,7.615149,-6.029046,0.962793,-8.225792,2.90663,-0.019171,-2.710089,-1.01581,0
0.016,1,0,Left_Hand,-1.170767,2.007289,11.283565,3.234296,-4.462797,-8.616604,-6.433426,6.532444,0
0.02,1,0,Left_Hand,-1.170685,3.158379,-1.292833,12.078903,0.984793,0.025084,-3.605298,3.122144,0
0.024,1,0,Left_Hand,7.896064,4.880012,2.816612,2.558627,-5.098551,9.635768,1.798969,2.614654,0
0.028,1,0,Left_Hand,3.837174,-2.746917,2.351676,-0.286328,-6.11535,-4.82133,-0.777458,-5.723073,0
0.032,1,0,Left_Hand,-2.347372,5.184506,-4.987387,-6.48318,3.576319,-7.164298,-1.032499,-3.542041,0
0.036,1,0,Left_Hand,2.7128,4.808274,-6.695438,-2.032223,3.303853,0.746393,0.839472,0.166647,0
0.04,1,0,Left_Hand,-2.317088,-2.173315,8.215024,-2.37038,5.682319,4.42504,7.291524,-1.531152,0
0.044,1,0,Left_Hand,-2.328649,4.262763,-3.129276,1.328924,2.378835,1.987742,5.989274,0.648165,0
0.048,1,0,Left_Hand,1.209811,-4.146048,1.127116,11.92231,10.163548,-1.306135,-6.542117,-3.140557,0
0.052,1,0,Left_Hand,-9.566401,-7.252555,-0.307042,0.452888,2.790712,-6.247728,3.858204,3.536177,0
0.056,1,0,Left_Hand,-8.624589,-2.33946,-7.61292,-3.717273,6.532379,1.831679,-8.264635,-3.649987,0
0.06,1,0,Left_Hand,-2.811438,1.073961,-1.294091,9.135989,-0.628204,3.241796,-4.161432,0.328427,0
0.064,1,0,Left_Hand,-5.064156,-2.304792,1.292056,5.322626,-5.642922,-4.974572,5.897038,-6.546866,0
0.068,1,0,Left_Hand,1.571237,-7.780133,-7.47125,-10.683108,5.222058,-3.344969,-2.403661,0.720949,0
0.072,1,0,Left_Hand,-4.54012,2.196323,6.325024,-0.759986,5.720392,0.997751,2.405714,-2.043178,0
0.076,1,0,Left_Hand,-7.061519,-0.714042,2.795435,-12.562283,-5.188372,8.243946,-2.090663,2.199946,0
0.08,1,0,Left_Hand,7.328244,-5.36017,2.009497,0.619555,0.452591,-1.531216,-0.159301,-0.510437,0
0.084,1,0,Left_Hand,-1.128882,-0.986423,3.894313,3.78307,-7.947532,5.825209,-11.742297,-1.045082,0
0.088,1,0,Left_Hand,0.337641,-3.291883,-0.191787,-3.838995,-1.426936,4.755996,6.523503,-0.320286,0
0.092,1,0,Left_Hand,-7.123741,0.080154,-5.066844,-0.555896,3.09627,-1.019728,4.300634,-2.894984,0
0.096,1,0,Left_Hand,-2.721914,-1.103408,0.620854,-5.332606,2.214228,-1.892977,3.755531,4.23375,0
0.1,1,0,Left_Hand,0.554613,2.305577,5.232264,-0.829414,2.810024,2.03656,1.483183,-1.713499,0
0.104,1,0,Left_Hand,-5.754968,-1.176551,-3.458674,-3.7335,3.548516,0.088005,-7.660209,-4.86908,0
0.108,1,0,Left_Hand,1.87849,-10.152601,8.531635,0.17535,1.724155,-6.284535,-2.625275,0.749168,0
0.112,1,0,Left_Hand,-3.003193,-4.274626,-9.85087,-0.276809,0.128451,-0.254856,-2.312855,1.163298,0
0.116,1,0,Left_Hand,-1.458469,-4.418467,0.977505,4.637863,4.545241,-4.36538,-1.03065,0.226396,0
0.12,1,0,Left_Hand,-3.008533,0.970109,4.195012,-0.837405,5.67648,7.28554,2.667952,0.110084,0
0.124,1,0,Left_Hand,9.261391,0.040603,9.909322,-6.504179,-0.202299,3.407813,0.053002,6.883573,0
0.128,1,0,Left_Hand,-0.067486,5.065625,3.422588,4.713488,-0.212161,5.115968,2.8592,-19.261122,0
0.132,1,0,Left_Hand,-5.288555,-0.60797,-8.287277,2.799457,2.180272,4.927672,1.190467,1.695156,0
0.136,1,0,Left_Hand,4.112725,-5.210068,2.136683,12.501662,-1.009989,-3.944477,-0.836902,0.489843,0
0.14,1,0,Left_Hand,-6.104218,0.853832,-12.076477,8.76872,-1.33887,2.942183,-6.212252,-2.285035,0
0.144,1,0,Left_Hand,1.044318,3.110278,7.647486,-3.591527,0.05685,7.952483,2.205509,3.761347,0
0.148,1,0,Left_Hand,-9.798351,-1.372147,6.904654,-10.098906,3.682764,1.812502,0.360538,1.611283,0
0.152,1,0,Left_Hand,-6.64093,3.828641,-5.371723,-3.247228,-0.488713,1.237435,-3.064816,7.467687,0
0.156,1,0,Left_Hand,0.984306,-1.92216,-0.881067,12.541327,-1.875196,3.956211,3.086212,-3.616249,0
0.16,1,0,Left_Hand,3.692333,-0.06377,-2.015621,1.708504,7.577981,-11.081406,7.117908,-3.492626,0
0.164,1,0,Left_Hand,0.856841,0.120188,-7.554158,-3.758982,-0.102317,1.40678,2.469062,0.328288,0
0.168,1,0,Left_Hand,-0.578241,-4.245792,0.813953,6.82168,-7.042094,3.646933,1.434398,3.281505,0
0.172,1,0,Left_Hand,-1.505518,-2.356808,-0.984323,-4.626897,3.686956,-3.842694,-0.227797,0.638235,0
0.176,1,0,Left_Hand,-7.39261,0.710064,13.092969,4.410987,-0.821356,6.64923,-1.05425,3.228036,0
0.18,1,0,Left_Hand,-3.599221,1.664141,4.867683,-8.362923,3.036249,7.63426,0.492925,8.773264,0
0.184,1,0,Left_Hand,-2.303194,8.022481,6.365969,-7.480662,-8.006693,1.562967,5.710955,-4.688456,0
0.188,1,0,Left_Hand,5.285611,-3.261381,-3.644906,-2.398394,-3.710153,-0.254448,-3.931115,5.866377,0
0.192,1,0,Left_Hand,1.718091,4.345793,-8.336043,-6.938973,11.839439,-6.73535,-1.398427,7.66963,0
0.196,1,0,Left_Hand,-8.815201,2.836874,-0.800992,-1.113141,6.908672,-1.389859,3.537885,1.364286,0
0.2,1,0,Left_Hand,1.62042,4.114739,3.173705,0.629756,2.85359,-0.522884,4.607124,-3.165096,0
0.204,1,0,Left_Hand,-1.925411,-3.182857,3.93374,1.722993,7.620065,-1.486524,-1.633122,-0.935281,0
0.208,1,0,Left_Hand,-3.38461,-1.808105,6.131086,1.117551,-2.034645,0.422928,-5.927015,3.494875,0
0.212,1,0,Left_Hand,3.058381,-2.927207,3.841029,-3.866558,-5.770717,1.591924,1.341871,7.004882,0
